Player,Team,Role,Cost,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Shelvey,NEW,MID,5.4,0.3%,1.7,9.0,431.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,53.0,62.8,91.9,72.0,22.7,1.7,0.0,0.3,1.7,1.8,6136.0,14135.0,-1.0,1.0
Hendrick,NEW,MID,5.0,3.7%,2.0,22.0,430.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,68.0,89.4,19.8,30.0,13.7,2.0,1.0,0.4,4.4,4.4,426796.0,278498.0,0.0,0.0
Antonio,WHU,FWD,6.3,4.2%,3.7,19.0,430.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,54.0,103.6,72.9,291.0,46.7,3.7,0.0,0.6,3.0,3.8,112161.0,514112.0,-2.0,2.0
McArthur,CRY,MID,5.4,0.2%,1.3,9.0,428.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,48.0,76.8,45.6,13.0,13.6,1.3,0.0,0.2,1.7,1.8,3256.0,9186.0,-1.0,1.0
Calvert-Lewin,EVE,FWD,7.7,55.8%,6.0,43.0,428.0,7.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,178.0,254.6,25.9,323.0,60.3,6.0,1.0,0.8,5.6,8.6,3445180.0,320233.0,7.0,-7.0
Pereira,WBA,MID,6.0,2.9%,3.3,22.0,427.0,1.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,114.8,132.6,81.0,32.9,3.3,0.0,0.6,3.7,4.4,194907.0,189168.0,0.0,0.0
Cavaleiro,FUL,MID,5.4,0.1%,1.7,9.0,426.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,37.8,122.0,45.0,20.4,1.7,0.0,0.3,1.7,1.8,2624.0,6781.0,-1.0,1.0
Klich,LEE,MID,5.6,7.0%,2.3,25.0,426.0,2.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,106.0,144.8,103.8,62.0,31.1,2.3,0.0,0.4,4.5,5.0,659163.0,323100.0,1.0,-1.0
Lundstram,SHU,MID,5.3,4.4%,2.0,7.0,423.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,35.0,63.8,128.9,60.0,25.3,2.0,0.0,0.4,1.3,1.4,32482.0,515788.0,-2.0,2.0
Rodríguez,EVE,MID,8.0,40.0%,8.0,39.0,419.0,3.0,3.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,163.0,211.0,219.5,118.0,55.0,8.0,1.0,1.0,4.9,7.8,2702183.0,722129.0,5.0,-5.0
