Player,Cost,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
MitrovićFULFWD,5.9,11.7%,1.3,17.0,387.0,2.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,43.0,84.2,45.9,209.0,32.6,1.3,0.0,0.2,2.9,3.4,424529.0,1154190.0,-1.0,1.0
RicharlisonEVEFWD,7.9,6.2%,2.7,22.0,382.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,84.0,107.6,52.2,193.0,35.1,2.7,0.0,0.3,2.8,4.4,382449.0,663087.0,-1.0,1.0
BashamSHUDEF,4.9,1.3%,2.2,10.0,382.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,71.0,87.2,34.2,22.0,14.3,2.2,0.0,0.4,2.0,2.0,15995.0,71063.0,-1.0,1.0
LewisNEWDEF,4.4,2.4%,0.3,8.0,381.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,46.0,44.4,65.1,6.0,11.4,0.3,0.0,0.1,1.8,1.6,199230.0,166000.0,-1.0,1.0
BergeSHUMID,5.0,0.1%,1.8,8.0,374.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,50.2,59.1,43.0,15.3,1.8,0.0,0.4,1.6,1.6,5313.0,7317.0,0.0,0.0
van DijkLIVDEF,6.5,18.7%,0.3,15.0,370.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,73.0,82.4,4.8,66.0,15.3,0.3,0.0,0.0,2.3,3.0,377861.0,1104586.0,0.0,0.0
WillianARSMID,7.9,8.4%,2.0,22.0,362.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,73.0,56.8,110.4,42.0,21.0,2.0,1.0,0.3,2.8,4.4,721866.0,875944.0,-1.0,1.0
WijnaldumLIVMID,5.4,1.4%,1.7,10.0,361.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,41.6,49.1,73.0,16.4,1.7,0.0,0.3,1.9,2.0,33415.0,81100.0,-1.0,1.0
TierneyARSDEF,5.4,5.6%,1.7,11.0,360.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.2,26.5,13.0,10.4,1.7,0.0,0.3,2.0,2.8,85508.0,472229.0,-1.0,1.0
GabrielARSDEF,5.1,12.2%,1.3,21.0,360.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,81.0,115.6,3.7,57.0,17.6,1.3,1.0,0.3,4.1,5.2,797261.0,376161.0,1.0,-1.0
MingsAVLDEF,5.1,8.3%,7.5,30.0,360.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,108.0,135.8,13.7,44.0,19.5,7.5,2.0,1.5,5.9,7.5,486655.0,85478.0,1.0,-1.0
TargettAVLDEF,4.5,1.4%,4.2,17.0,360.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,75.0,31.8,27.8,10.0,7.1,4.2,0.0,0.9,3.8,4.2,68246.0,37854.0,0.0,0.0
