Gameweek,Player,Team,Role,Cost,Sel.,Form,Cum_Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Pts.
8,Norwood,SHU,MID,4.7,0.2,1.0,6.0,216.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,36.2,45.9,0.0,8.3,1.0,0.0,0.2,1.3,1.5,5361.0,31180.0,-3.0,3.0,4,0.0,0.0,0.0,0.06,1.25,1.22,0.0,0.0,0.02,0.02,0.02,0.52,0.51,19,7,0,1,6.0,3.0,10,1,7.23,4.94,10.21,9.45,-4.5,15.12,12.19,38.0,43.0,7.04,2.0
8,O'Connell,SHU,DEF,4.8,0.2,0.0,3.0,180.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,40.2,2.5,0.0,4.3,0.0,0.0,0.0,0.6,1.5,3285.0,40250.0,-2.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,7,0,1,6.0,3.0,10,1,7.23,4.94,10.21,9.45,-4.5,15.12,12.19,38.0,43.0,7.04,0.0
8,Fleck,SHU,MID,5.7,0.1,0.0,5.0,179.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.0,48.8,14.0,8.0,0.0,0.0,0.0,0.9,1.7,5361.0,33035.0,-3.0,3.0,3,0.0,0.04,0.04,0.1,0.15,0.1,0.02,0.02,0.05,0.07,0.07,0.08,0.05,19,7,0,1,6.0,3.0,10,1,7.23,4.94,10.21,9.45,-4.5,15.12,12.19,38.0,43.0,7.04,0.0
8,Brewster,SHU,FWD,4.5,6.8,1.3,4.0,169.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.6,23.6,11.0,4.0,1.3,0.0,0.3,0.9,1.3,518567.0,430389.0,0.0,0.0,3,0.0,0.57,0.57,0.13,0.81,0.1,0.3,0.3,0.07,0.37,0.37,0.43,0.06,19,7,0,1,6.0,3.0,10,1,7.23,4.94,10.21,9.45,-4.5,15.12,12.19,38.0,43.0,7.04,2.0
8,Sharp,SHU,FWD,5.7,0.2,2.3,11.0,129.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,36.6,4.9,61.0,10.3,2.3,0.0,0.4,1.9,2.8,7685.0,20115.0,-3.0,3.0,4,0.0,1.45,0.68,0.0,0.74,0.05,1.05,0.5,0.0,1.05,0.5,0.54,0.04,19,7,0,1,6.0,3.0,10,1,7.23,4.94,10.21,9.45,-4.5,15.12,12.19,38.0,43.0,7.04,0.0
8,Fabio Silva,WOL,FWD,5.2,0.6,0.3,3.0,41.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.2,13.4,42.0,5.8,0.3,0.0,0.1,0.6,1.0,25101.0,82349.0,-3.0,3.0,3,0.0,0.1,0.1,0.01,0.11,0.01,0.24,0.24,0.03,0.27,0.27,0.27,0.03,6,7,4,1,2.0,8.0,8,13,6.35,6.35,9.19,8.43,-2.09,14.26,13.49,27.0,48.0,8.17,1.0
8,Vitinha,WOL,MID,4.9,0.0,0.0,2.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.6,12.9,0.0,2.2,0.0,0.0,0.0,0.4,1.0,902.0,2607.0,-1.0,1.0,2,0.0,0.0,0.0,0.01,0.11,0.09,0.0,0.0,0.07,0.07,0.07,0.53,0.46,6,7,4,1,2.0,8.0,8,13,6.35,6.35,9.19,8.43,-2.09,14.26,13.49,27.0,48.0,8.17,0.0
8,Patrício,WOL,GKP,5.5,7.6,4.7,30.0,630.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,145.0,133.6,0.0,0.0,13.2,4.7,0.0,0.9,5.5,4.3,272264.0,197111.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.01,0.01,6,7,4,1,2.0,8.0,8,13,6.35,6.35,9.19,8.43,-2.09,14.26,13.49,27.0,48.0,8.17,10.0
8,Boly,WOL,DEF,5.5,2.7,4.7,29.0,630.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,136.0,110.0,5.9,28.0,14.4,4.7,0.0,0.9,5.3,4.1,102054.0,88172.0,0.0,0.0,7,0.0,0.16,0.16,0.0,0.7,0.7,0.02,0.02,0.0,0.02,0.02,0.1,0.1,6,7,4,1,2.0,8.0,8,13,6.35,6.35,9.19,8.43,-2.09,14.26,13.49,27.0,48.0,8.17,2.0
8,Coady,WOL,DEF,5.0,8.9,4.7,28.0,630.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,135.0,113.4,11.8,0.0,12.6,4.7,0.0,0.9,5.6,4.0,283866.0,282844.0,0.0,0.0,7,0.0,0.0,0.0,0.05,0.56,0.51,0.0,0.0,0.01,0.01,0.01,0.08,0.07,6,7,4,1,2.0,8.0,8,13,6.35,6.35,9.19,8.43,-2.09,14.26,13.49,27.0,48.0,8.17,2.0
8,Jiménez,WOL,FWD,8.5,18.3,6.3,35.0,630.0,4.0,0.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,127.0,166.6,65.9,224.0,45.8,6.3,0.0,0.7,4.1,5.0,1067553.0,1108131.0,0.0,0.0,7,4.0,2.13,2.13,0.51,2.81,0.72,0.3,0.3,0.07,0.38,0.38,0.4,0.1,6,7,4,1,2.0,8.0,8,13,6.35,6.35,9.19,8.43,-2.09,14.26,13.49,27.0,48.0,8.17,2.0
8,Neto,WOL,MID,5.5,1.8,4.0,30.0,568.0,1.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,104.0,138.2,220.6,133.0,49.3,4.0,0.0,0.7,5.5,4.3,167348.0,75101.0,0.0,0.0,7,1.0,0.5,0.5,1.51,2.65,1.31,0.08,0.08,0.23,0.31,0.31,0.41,0.2,6,7,4,1,2.0,8.0,8,13,6.35,6.35,9.19,8.43,-2.09,14.26,13.49,27.0,48.0,8.17,2.0
8,Neves,WOL,MID,5.3,1.6,2.3,14.0,464.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78.0,84.4,101.8,98.0,28.5,2.3,0.0,0.4,2.6,2.0,32438.0,108266.0,-2.0,2.0,7,0.0,0.43,0.43,0.26,1.43,0.87,0.08,0.08,0.05,0.13,0.13,0.28,0.17,6,7,4,1,2.0,8.0,8,13,6.35,6.35,9.19,8.43,-2.09,14.26,13.49,27.0,48.0,8.17,1.0
8,Dendoncker,WOL,MID,4.9,1.1,2.7,18.0,462.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,72.0,94.4,56.0,22.2,2.7,0.0,0.6,3.7,3.0,36568.0,110132.0,-1.0,1.0,6,0.0,0.53,0.53,0.24,1.43,0.75,0.1,0.1,0.05,0.15,0.15,0.28,0.15,6,7,4,1,2.0,8.0,8,13,6.35,6.35,9.19,8.43,-2.09,14.26,13.49,27.0,48.0,8.17,1.0
