Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Watkins,AVL,7.2,FWD,4.3%,8.5,94.0,1795.0,7.0,5.0,5.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,285.0,422.4,257.4,745.0,142.4,8.5,1.0,1.2,13.1,4.3,901988.0,884013.0,-0.3,0.3
Thiago Silva,CHE,5.5,DEF,9.2%,3.5,71.0,1793.0,0.0,2.0,6.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,420.0,535.0,66.1,108.0,70.9,3.5,0.0,0.6,12.9,3.5,1109821.0,895886.0,0.0,0.0
Barnes,LEI,6.7,MID,1.6%,5.8,92.0,1786.0,8.0,2.0,6.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,224.0,385.0,200.6,675.0,126.0,5.8,0.0,0.9,13.7,4.4,397965.0,445658.0,-0.3,0.3
Botman,NEW,4.5,DEF,5.3%,2.5,89.0,1777.0,0.0,1.0,11.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,433.0,349.8,85.4,187.0,62.5,2.5,0.0,0.6,19.8,4.2,925758.0,571178.0,0.0,0.0
S.Longstaff,NEW,4.3,MID,1.2%,4.0,69.0,1772.0,1.0,4.0,10.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,253.0,309.0,286.7,304.0,90.1,4.0,0.0,0.9,16.0,3.0,377347.0,368780.0,-0.2,0.2
White,ARS,4.7,DEF,13.0%,1.2,90.0,1768.0,0.0,2.0,10.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,423.0,348.2,299.2,61.0,70.8,1.2,0.0,0.3,19.1,3.9,2070628.0,1305470.0,0.2,-0.2
Jensen,BRE,4.8,MID,1.3%,3.8,81.0,1765.0,3.0,5.0,7.0,26.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,299.0,391.8,477.2,133.0,100.1,3.8,1.0,0.8,16.9,3.5,611996.0,546832.0,-0.2,0.2
Joelinton,NEW,5.9,MID,0.7%,1.5,63.0,1759.0,2.0,3.0,11.0,12.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,262.0,366.0,296.8,428.0,109.1,1.5,1.0,0.3,10.7,3.0,188775.0,196829.0,-0.1,0.1
Son,TOT,11.6,MID,5.8%,4.0,85.0,1750.0,5.0,3.0,7.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,245.0,405.2,492.5,612.0,150.7,4.0,1.0,0.3,7.3,3.9,1260488.0,2924025.0,-0.4,0.4
Mbeumo,BRE,5.8,FWD,3.2%,5.2,82.0,1747.0,5.0,4.0,7.0,27.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,285.0,335.8,418.3,511.0,126.2,5.2,2.0,0.9,14.1,3.6,886770.0,806467.0,-0.2,0.2
Soucek,WHU,5.1,MID,0.6%,1.5,55.0,1741.0,1.0,1.0,3.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,226.0,365.0,146.1,290.0,80.3,1.5,1.0,0.3,10.8,2.4,103406.0,213282.0,-0.4,0.4
C.Doucouré,CRY,5.0,MID,0.1%,2.8,46.0,1737.0,0.0,2.0,3.0,26.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,267.0,329.8,247.6,106.0,68.6,2.8,0.0,0.6,9.2,2.2,19542.0,25980.0,0.0,0.0
Schlupp,CRY,4.7,MID,0.1%,3.2,52.0,1718.0,1.0,1.0,6.0,25.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,194.0,226.2,118.4,190.0,53.7,3.2,0.0,0.7,11.1,2.3,17004.0,26224.0,-0.3,0.3
Gray,EVE,5.3,MID,0.7%,0.8,65.0,1708.0,3.0,1.0,4.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,218.0,296.2,440.9,486.0,122.2,0.8,0.0,0.2,12.3,3.1,186833.0,221015.0,-0.2,0.2
Martínez,MUN,4.5,DEF,6.6%,3.6,59.0,1686.0,1.0,0.0,6.0,27.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,365.0,462.6,102.7,68.0,63.6,3.6,0.0,0.8,13.1,2.7,1042633.0,833884.0,0.0,0.0
Tielemans,LEI,6.1,MID,1.3%,1.8,66.0,1677.0,3.0,2.0,5.0,34.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,360.0,425.2,386.9,165.0,97.8,1.8,0.0,0.3,10.8,3.0,221948.0,335911.0,-0.4,0.4
Struijk,LEE,4.5,DEF,0.8%,1.6,62.0,1677.0,2.0,2.0,4.0,32.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,339.0,428.4,187.8,234.0,85.2,1.6,0.0,0.4,13.8,3.1,277724.0,220724.0,0.0,0.0
Bernardo,MCI,6.8,MID,5.8%,3.2,85.0,1677.0,3.0,6.0,5.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,342.0,400.0,405.7,328.0,113.4,3.2,2.0,0.5,12.5,3.7,1785401.0,2069942.0,-0.2,0.2
Zaha,CRY,7.2,MID,7.4%,0.8,78.0,1661.0,6.0,2.0,5.0,23.0,0.0,0.0,2.0,3.0,0.0,0.0,6.0,180.0,398.0,303.0,595.0,129.6,0.8,0.0,0.1,10.8,4.1,3862470.0,4034547.0,0.2,-0.2
Shaw,MUN,5.4,DEF,26.4%,4.8,90.0,1661.0,1.0,4.0,8.0,22.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,413.0,375.2,347.7,91.0,81.5,4.8,3.0,0.9,16.7,4.5,3541621.0,690706.0,0.4,-0.4
Billing,BOU,5.1,MID,0.3%,1.8,72.0,1645.0,4.0,1.0,6.0,31.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,253.0,384.8,201.6,241.0,82.7,1.8,0.0,0.4,14.1,3.3,280770.0,269138.0,-0.4,0.4
Aaronson,LEE,5.4,MID,0.7%,1.2,57.0,1642.0,1.0,3.0,4.0,36.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,167.0,210.8,439.6,281.0,93.4,1.2,0.0,0.2,10.6,2.6,233805.0,280241.0,-0.1,0.1
Mac Allister,BHA,5.4,MID,2.4%,1.0,70.0,1636.0,5.0,0.0,5.0,24.0,1.0,0.0,0.0,6.0,0.0,0.0,11.0,299.0,400.6,339.8,349.0,109.0,1.0,2.0,0.2,13.0,3.7,1367128.0,1218130.0,-0.1,0.1
Mitrović,FUL,6.9,FWD,22.2%,1.5,87.0,1636.0,11.0,2.0,7.0,20.0,0.0,0.0,3.0,5.0,0.0,0.0,11.0,266.0,471.0,207.6,1030.0,169.7,1.5,2.0,0.2,12.6,4.6,7601306.0,6479394.0,0.4,-0.4
Onana,EVE,4.8,MID,0.2%,2.2,54.0,1634.0,1.0,2.0,7.0,22.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,216.0,243.4,171.8,202.0,61.5,2.2,0.0,0.5,11.2,2.6,56592.0,47094.0,-0.2,0.2
