Player,Count,Entries Number,Season,Gameweek
José Sá,6,10050,24,21
Verbruggen,6,10050,24,21
Odobert,5,10050,24,21
Olsen,5,10050,24,21
Jones,5,10050,24,21
Enzo,5,10050,24,21
Miley,5,10050,24,21
Broja,5,10050,24,21
Aina,4,10050,24,21
Chilwell,4,10050,24,21
McNeil,4,10050,24,21
Lo Celso,4,10050,24,21
Mbeumo,4,10050,24,21
G.Montiel,4,10050,24,21
Tomiyasu,3,10050,24,21
Foderingham,3,10050,24,21
Lindelof,3,10050,24,21
L.Paquetá,3,10050,24,21
Ream,3,10050,24,21
Basham,3,10050,24,21
Maddison,3,10050,24,21
Quansah,3,10050,24,21
Rodriguez,3,10050,24,21
Pellistri,3,10050,24,21
Roerslev,3,10050,24,21
Egan-Riley,3,10050,24,21
Williams,3,10050,24,21
Burke,3,10050,24,21
Muniz,3,10050,24,21
Ward,3,10050,24,21
Brownhill,2,10050,24,21
J.Ayew,2,10050,24,21
Collins,2,10050,24,21
Chambers,2,10050,24,21
J.Ramsey,2,10050,24,21
Buonanotte,2,10050,24,21
Heaton,2,10050,24,21
Elliott,2,10050,24,21
Havertz,2,10050,24,21
Murillo,2,10050,24,21
Stones,2,10050,24,21
Tavares,2,10050,24,21
Goode,2,10050,24,21
Ahmedhodžić,2,10050,24,21
O'Shea,2,10050,24,21
Steffen,2,10050,24,21
Mavropanos,2,10050,24,21
Ogbene,2,10050,24,21
P.Fornals,2,10050,24,21
Powell,2,10050,24,21
Ramsdale,2,10050,24,21
Duran,1,10050,24,21
Drăgușin,1,10050,24,21
Bruno G.,1,10050,24,21
Vitinho,1,10050,24,21
Agyei,1,10050,24,21
Vinícius,1,10050,24,21
Vigouroux,1,10050,24,21
Balogun,1,10050,24,21
E.Royal,1,10050,24,21
Ebiowei,1,10050,24,21
Ui-jo,1,10050,24,21
Ugochukwu,1,10050,24,21
Ekdal,1,10050,24,21
Matthews,1,10050,24,21
Patterson,1,10050,24,21
Veltman,1,10050,24,21
Muric,1,10050,24,21
Christie,1,10050,24,21
Cédric,1,10050,24,21
Odysseas,1,10050,24,21
Aarons,1,10050,24,21
Zeqiri,1,10050,24,21
Young,1,10050,24,21
Yarmoliuk,1,10050,24,21
Connolly,1,10050,24,21
Cresswell,1,10050,24,21
Caicedo,1,10050,24,21
Trossard,1,10050,24,21
De Cordova-Reid,1,10050,24,21
Ogbonna,1,10050,24,21
De Fougerolles,1,10050,24,21
Doherty,1,10050,24,21
Dorrington,1,10050,24,21
Welbeck,1,10050,24,21
Webster,1,10050,24,21
