Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Lloris,TOT,5.5,GKP,5.7%,8.7,47.0,900.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,25.0,8.0,190.0,178.0,0.0,0.0,17.9,8.7,0.0,1.6,8.5,4.7,256937.0,257581.0,0.0,0.0,10,0.0,0.0,0.0,0.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.11,0.11,1,10,6,3,1.0,21.0,9,21,17.0,15.47,11.57,9.29,6.18,11.26,14.56,46.0,53.0,16.86
Højbjerg,TOT,4.9,MID,0.9%,3.0,26.0,900.0,0.0,1.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,144.0,175.8,90.8,17.0,28.5,3.0,0.0,0.6,5.3,2.6,60673.0,79600.0,-1.0,1.0,10,0.0,0.03,0.03,0.73,5.15,4.79,0.0,0.0,0.07,0.08,0.08,0.52,0.48,1,10,6,3,1.0,21.0,9,21,17.0,15.47,11.57,9.29,6.18,11.26,14.56,46.0,53.0,16.86
Kane,TOT,10.9,FWD,42.7%,5.0,86.0,893.0,7.0,9.0,4.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,319.0,481.6,252.5,491.0,122.7,5.0,3.0,0.5,7.9,8.6,2810348.0,962920.0,4.0,-4.0,10,5.0,6.85,5.33,4.28,8.19,1.15,0.69,0.53,0.43,1.12,0.96,0.82,0.12,1,10,6,3,1.0,21.0,9,21,17.0,15.47,11.57,9.29,6.18,11.26,14.56,46.0,53.0,16.86
Dier,TOT,4.9,DEF,2.0%,6.3,34.0,810.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,165.0,176.4,15.0,14.0,20.6,6.3,0.0,1.3,6.9,3.8,121767.0,110882.0,-1.0,1.0,9,0.0,0.43,0.43,0.04,1.99,1.99,0.05,0.05,0.0,0.05,0.05,0.22,0.22,1,10,6,3,1.0,21.0,9,21,17.0,15.47,11.57,9.29,6.18,11.26,14.56,46.0,53.0,16.86
Sissoko,TOT,4.8,MID,0.5%,2.7,18.0,662.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,86.0,76.0,38.6,0.0,11.5,2.7,0.0,0.6,3.8,2.2,23749.0,39071.0,-2.0,2.0,8,0.0,0.0,0.0,0.11,1.48,1.48,0.0,0.0,0.01,0.01,0.01,0.2,0.2,1,10,6,3,1.0,21.0,9,21,17.0,15.47,11.57,9.29,6.18,11.26,14.56,46.0,53.0,16.86
Reguilón,TOT,5.6,DEF,5.4%,5.7,27.0,540.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,124.0,123.2,100.2,63.0,28.7,5.7,0.0,1.0,4.8,4.5,505422.0,154905.0,1.0,-1.0,6,0.0,0.17,0.17,1.15,2.5,1.7,0.03,0.03,0.19,0.22,0.22,0.42,0.28,1,10,6,3,1.0,21.0,9,21,17.0,15.47,11.57,9.29,6.18,11.26,14.56,46.0,53.0,16.86
Alderweireld,TOT,5.4,DEF,1.5%,4.3,26.0,530.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,116.0,141.0,26.3,19.0,18.7,4.3,0.0,0.8,4.8,4.3,56552.0,160202.0,-1.0,1.0,6,0.0,0.01,0.01,0.18,1.8,1.8,0.0,0.0,0.03,0.03,0.03,0.3,0.3,1,10,6,3,1.0,21.0,9,21,17.0,15.47,11.57,9.29,6.18,11.26,14.56,46.0,53.0,16.86
Doherty,TOT,5.8,DEF,6.6%,4.0,24.0,525.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,97.0,113.0,81.1,49.0,24.4,4.0,1.0,0.7,4.1,4.0,175970.0,1287842.0,-2.0,2.0,6,0.0,0.31,0.31,0.54,2.89,2.44,0.05,0.05,0.09,0.15,0.15,0.49,0.42,1,10,6,3,1.0,21.0,9,21,17.0,15.47,11.57,9.29,6.18,11.26,14.56,46.0,53.0,16.86
Davies,TOT,4.7,DEF,0.9%,0.3,17.0,383.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,49.6,54.7,46.0,15.0,0.3,0.0,0.1,3.6,2.4,61069.0,178771.0,-3.0,3.0,7,0.0,0.07,0.07,0.07,1.2,1.16,0.02,0.02,0.02,0.04,0.04,0.29,0.28,1,10,6,3,1.0,21.0,9,21,17.0,15.47,11.57,9.29,6.18,11.26,14.56,46.0,53.0,16.86
Aurier,TOT,5.2,DEF,1.8%,4.0,25.0,360.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,104.0,131.8,39.5,68.0,23.9,4.0,0.0,0.8,4.8,6.2,143587.0,283167.0,-3.0,3.0,4,1.0,0.51,0.51,0.74,1.44,0.49,0.13,0.13,0.19,0.31,0.31,0.36,0.12,1,10,6,3,1.0,21.0,9,21,17.0,15.47,11.57,9.29,6.18,11.26,14.56,46.0,53.0,16.86
Sánchez,TOT,5.3,DEF,0.8%,0.0,4.0,360.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,55.0,2.1,86.0,14.3,0.0,0.0,0.0,0.8,1.0,23197.0,54672.0,-2.0,2.0,4,0.0,0.25,0.25,0.0,0.92,0.92,0.06,0.06,0.0,0.06,0.06,0.23,0.23,1,10,6,3,1.0,21.0,9,21,17.0,15.47,11.57,9.29,6.18,11.26,14.56,46.0,53.0,16.86
Bergwijn,TOT,7.0,MID,0.4%,1.7,11.0,312.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,14.8,39.8,48.0,9.7,1.7,0.0,0.2,1.6,1.8,11187.0,85964.0,-5.0,5.0,6,0.0,0.27,0.27,0.18,1.65,1.39,0.08,0.08,0.05,0.13,0.13,0.48,0.4,1,10,6,3,1.0,21.0,9,21,17.0,15.47,11.57,9.29,6.18,11.26,14.56,46.0,53.0,16.86
Winks,TOT,5.2,MID,0.1%,0.0,5.0,256.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,35.0,20.4,0.0,5.5,0.0,0.0,0.0,1.0,1.2,3531.0,10943.0,-3.0,3.0,4,0.0,0.0,0.0,0.02,1.5,1.48,0.0,0.0,0.01,0.01,0.01,0.53,0.52,1,10,6,3,1.0,21.0,9,21,17.0,15.47,11.57,9.29,6.18,11.26,14.56,46.0,53.0,16.86
Lo Celso,TOT,6.9,MID,0.4%,2.7,13.0,234.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,67.4,88.5,94.0,25.0,2.7,0.0,0.4,1.9,1.9,7333.0,35241.0,-1.0,1.0,7,1.0,1.3,1.3,0.38,2.47,1.21,0.52,0.52,0.15,0.68,0.68,0.99,0.49,1,10,6,3,1.0,21.0,9,21,17.0,15.47,11.57,9.29,6.18,11.26,14.56,46.0,53.0,16.86
Lamela,TOT,5.8,MID,0.1%,0.0,8.0,187.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,23.8,33.3,95.0,14.9,0.0,0.0,0.0,1.4,1.6,9675.0,18938.0,-2.0,2.0,5,0.0,0.6,0.6,0.08,1.16,0.72,0.29,0.29,0.04,0.32,0.32,0.55,0.34,1,10,6,3,1.0,21.0,9,21,17.0,15.47,11.57,9.29,6.18,11.26,14.56,46.0,53.0,16.86
Bale,TOT,9.5,MID,0.7%,1.0,13.0,115.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.0,41.4,38.5,58.0,13.8,1.0,0.0,0.1,1.4,4.3,154651.0,118464.0,0.0,0.0,3,1.0,0.86,0.86,0.67,1.12,0.66,0.69,0.69,0.54,1.24,1.24,0.91,0.53,1,10,6,3,1.0,21.0,9,21,17.0,15.47,11.57,9.29,6.18,11.26,14.56,46.0,53.0,16.86
