Player,Team,Role,Cost,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Nketiah,ARS,FWD,5.7,0.7%,1.0,13.0,106.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,43.0,40.6,4.2,42.0,8.5,1.0,0.0,0.2,2.3,2.2,28500.0,107829.0,-3.0,3.0,6,1.0,0.63,0.63,0.0,0.68,0.05,0.56,0.56,0.0,0.56,0.56,0.6,0.04,11,6,3,0,3.0,8.0,7,9,6.91,6.91,7.24,7.24,-0.32,18.4,17.79,42.0,27.0,8.11
Partey,ARS,MID,5.0,0.8%,1.0,2.0,97.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,11.6,14.1,0.0,2.5,1.0,0.0,0.2,0.4,1.0,62434.0,12872.0,0.0,0.0,2,0.0,0.0,0.0,0.03,0.23,0.2,0.0,0.0,0.03,0.03,0.03,0.21,0.19,11,6,3,0,3.0,8.0,7,9,6.91,6.91,7.24,7.24,-0.32,18.4,17.79,42.0,27.0,8.11
Kolasinac,ARS,DEF,4.8,0.2%,0.0,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.6,5.4,4.0,1.3,0.0,0.0,0.0,0.4,2.0,4226.0,13965.0,-2.0,2.0,1,0.0,0.0,0.0,0.0,0.43,0.43,0.0,0.0,0.0,0.0,0.0,0.43,0.43,11,6,3,0,3.0,8.0,7,9,6.91,6.91,7.24,7.24,-0.32,18.4,17.79,42.0,27.0,8.11
Mustafi,ARS,DEF,5.0,0.0%,0.2,1.0,41.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.6,1.0,0.0,0.9,0.2,0.0,0.0,0.2,1.0,10131.0,10325.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.15,0.15,11,6,3,0,3.0,8.0,7,9,6.91,6.91,7.24,7.24,-0.32,18.4,17.79,42.0,27.0,8.11
Pépé,ARS,MID,7.7,0.9%,2.5,12.0,202.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,38.8,21.4,61.0,12.1,2.5,0.0,0.3,1.6,2.0,17598.0,111387.0,-3.0,3.0,6,1.0,0.34,0.34,0.07,0.6,0.37,0.15,0.15,0.03,0.19,0.19,0.27,0.17,11,6,3,0,3.0,8.0,7,9,6.91,6.91,7.24,7.24,-0.32,18.4,17.79,42.0,27.0,8.11
Allan,EVE,MID,5.4,1.1%,1.0,10.0,450.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,73.4,22.9,8.0,10.4,1.0,0.0,0.2,1.9,2.0,70283.0,120705.0,-1.0,1.0,5,0.0,0.03,0.03,0.02,2.15,2.12,0.01,0.01,0.0,0.01,0.01,0.43,0.42,1,6,4,1,1.0,14.0,9,13,11.69,10.93,5.98,5.98,4.95,10.98,13.74,32.0,45.0,11.19
Richarlison,EVE,FWD,7.8,4.5%,0.0,22.0,382.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,84.0,107.6,52.2,193.0,35.1,0.0,0.0,0.0,2.8,4.4,383124.0,788546.0,-2.0,2.0,5,0.0,2.67,1.91,1.08,3.49,0.88,0.63,0.45,0.25,0.88,0.7,0.82,0.21,1,6,4,1,1.0,14.0,9,13,11.69,10.93,5.98,5.98,4.95,10.98,13.74,32.0,45.0,11.19
André Gomes,EVE,MID,5.5,0.3%,0.3,8.0,303.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,26.6,34.8,22.0,8.3,0.3,0.0,0.1,1.5,2.0,18464.0,28912.0,0.0,0.0,4,0.0,0.07,0.07,0.08,1.01,0.85,0.02,0.02,0.02,0.05,0.05,0.29,0.24,1,6,4,1,1.0,14.0,9,13,11.69,10.93,5.98,5.98,4.95,10.98,13.74,32.0,45.0,11.19
Bernard,EVE,MID,5.8,0.1%,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,14.0,27.0,4.0,4.5,0.0,0.0,0.0,0.0,0.0,3192.0,9994.0,-2.0,2.0,1,0.0,0.0,0.0,0.15,0.14,0.0,0.0,0.0,0.31,0.31,0.31,0.28,0.0,1,6,4,1,1.0,14.0,9,13,11.69,10.93,5.98,5.98,4.95,10.98,13.74,32.0,45.0,11.19
Pickford,EVE,GKP,5.0,8.3%,2.0,17.0,540.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,102.0,136.0,10.0,0.0,14.7,2.0,0.0,0.4,3.4,2.8,402021.0,330123.0,0.0,0.0,6,0.0,0.0,0.0,0.02,0.82,0.8,0.0,0.0,0.0,0.0,0.0,0.14,0.13,1,6,4,1,1.0,14.0,9,13,11.69,10.93,5.98,5.98,4.95,10.98,13.74,32.0,45.0,11.19
