Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Bissouma,BHA,4.5,MID,3.40%,1.8,21,808,1,0,2,13,0,0,0,3,1,0,2,100,125.6,44.8,71,23.9,1.8,0,0.4,4.7,2.3,239125,291938,0,0
Tierney,ARS,5.4,DEF,5.00%,3.2,26,800,0,0,3,11,0,0,0,1,0,0,0,156,142.2,107.1,57,30.7,3.2,0,0.6,4.8,2.9,127978,554783,-1,1
Firmino,LIV,9.2,FWD,2.30%,3.0,35,798,2,2,2,15,0,0,0,1,0,0,3,140,154.4,150.1,405,70.9,3.0,0,0.3,3.8,3.5,97337,262921,-3,3
Rashford,MUN,9.5,MID,6.70%,3.8,43,798,2,4,2,16,0,0,0,1,0,0,2,119,207.6,225.9,323,75.7,3.8,1,0.4,4.5,4.8,814609,715770,0,0
Bertrand,SOU,5.0,DEF,1.00%,1.2,27,798,0,0,3,14,0,0,0,1,0,0,2,128,101.2,127.8,44,27.3,1.2,0,0.2,5.4,3.0,51576,87497,0,0
Walker,MCI,6.2,DEF,10.60%,3.7,39,797,1,1,3,11,0,0,0,1,0,0,4,164,162.4,87.0,60,30.8,3.7,2,0.6,6.3,4.3,588336,264443,2,-2
Harrison,LEE,5.5,MID,1.50%,4.2,38,788,1,3,4,16,0,0,0,0,0,0,2,127,193.2,307.3,174,67.5,4.2,0,0.8,6.9,4.2,275190,260538,0,0
Furlong,WBA,4.5,DEF,0.20%,2.8,25,788,0,1,2,14,0,0,0,1,0,0,1,123,145.0,117.8,107,37.1,2.8,0,0.6,5.6,2.8,13952,10470,0,0
Wilson,NEW,6.5,FWD,13.30%,6.5,67,787,7,3,3,11,0,0,0,1,0,0,13,236,284.0,103.4,319,70.4,6.5,2,1.0,10.3,7.4,1541034,1319511,0,0
Salah,LIV,12.2,MID,29.90%,5.0,73,782,8,2,2,16,0,0,0,0,0,0,7,231,365.2,297.1,555,121.7,5.0,1,0.4,6.0,8.1,1930779,2214686,2,-2
Douglas Luiz,AVL,4.9,MID,0.30%,3.0,23,779,0,1,4,13,0,0,0,2,0,0,0,108,124.2,118.7,60,30.5,3.0,0,0.6,4.7,2.6,18209,25227,-1,1
Wood,BUR,6.2,FWD,0.90%,4.0,28,779,2,0,3,16,0,0,0,0,0,0,2,60,93.4,48.9,246,38.1,4.0,0,0.6,4.5,3.1,86289,179734,-3,3
Cash,AVL,5.0,DEF,0.70%,2.2,28,772,0,1,4,13,0,0,0,4,0,0,1,166,180.8,95.2,28,30.4,2.2,0,0.4,5.6,3.1,55261,35985,0,0
Rodrigo,MCI,5.4,MID,0.50%,1.7,17,765,0,0,2,11,0,0,0,2,0,0,0,120,116.4,142.0,59,31.7,1.7,0,0.3,3.1,1.9,26374,37690,-1,1
de Gea,MUN,5.4,GKP,3.70%,2.5,21,765,0,0,2,16,0,0,0,0,0,16,0,116,129.6,0.0,0,13.1,2.5,0,0.5,3.9,2.3,108643,182897,-1,1
Vestergaard,SOU,4.7,DEF,10.30%,4.0,43,765,2,0,4,10,0,0,0,0,0,0,1,201,248.8,27.5,73,35.0,4.0,0,0.9,9.1,4.8,783266,100417,2,-2
Hendrick,NEW,4.8,MID,2.60%,1.8,31,760,1,1,2,10,0,0,0,0,0,0,3,95,113.2,23.6,46,18.0,1.8,1,0.4,6.5,3.4,463955,396818,-2,2
Masuaku,WHU,4.5,DEF,2.30%,4.7,36,760,0,1,4,9,0,0,0,1,0,0,4,167,132.8,150.9,58,34.2,4.7,1,1.0,8.0,4.0,200812,68850,0,0
Neto,WOL,5.6,MID,2.80%,7.0,51,756,3,3,4,9,0,0,0,0,0,0,4,174,235.8,282.1,246,76.6,7.0,1,1.3,9.1,5.1,279074,118747,1,-1
Pereira,WBA,5.8,MID,1.30%,1.2,29,752,1,2,2,16,0,0,0,1,0,0,0,125,154.2,300.1,121,57.6,1.2,0,0.2,5.0,3.2,211583,326907,-2,2
Rodríguez,EVE,7.8,MID,26.40%,1.5,47,751,3,3,1,13,0,0,0,1,0,0,5,219,266.8,329.1,197,79.5,1.5,1,0.2,6.0,5.2,3175560,2180163,3,-3
March,BHA,5.0,MID,1.10%,3.2,37,750,2,1,2,14,0,0,0,0,0,0,4,153,197.4,161.2,145,50.4,3.2,1,0.6,7.4,4.1,163222,96684,0,0
Fernandes,MUN,10.9,MID,39.00%,10.0,74,749,7,4,2,14,0,0,1,2,0,0,12,265,422.0,420.7,315,115.9,10.0,4,0.9,6.8,8.2,2740562,1138135,4,-4
Anguissa,FUL,4.5,MID,1.80%,3.2,26,743,0,2,1,13,0,0,0,1,0,0,2,140,183.0,128.7,98,41.2,3.2,0,0.7,5.8,2.6,235050,176391,0,0
Vardy,LEI,10.2,FWD,28.70%,6.2,66,738,8,3,2,13,0,0,1,0,0,0,10,259,348.6,82.6,402,83.5,6.2,3,0.6,6.5,7.3,2054559,1472575,2,-2
Maupay,BHA,6.3,FWD,2.90%,0.8,39,733,4,1,2,13,0,0,1,0,0,0,5,129,187.2,100.7,390,67.4,0.8,1,0.1,6.2,4.3,607719,570642,-2,2
Mané,LIV,12.1,MID,11.10%,3.0,50,733,4,3,2,10,0,0,0,2,0,0,4,144,240.0,192.4,431,86.5,3.0,1,0.2,4.1,5.6,1073559,1212706,1,-1
Dendoncker,WOL,4.8,MID,1.00%,2.7,26,732,0,2,4,5,0,0,0,1,0,0,0,89,92.4,133.7,111,33.6,2.7,0,0.6,5.4,2.9,45276,130443,-2,2
Egan,SHU,4.8,DEF,2.90%,0.7,6,731,0,0,0,15,0,0,0,3,1,0,0,81,136.2,15.1,14,16.6,0.7,0,0.1,1.2,0.7,30495,858249,-2,2
