Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Ben Osborn,SHU,2,178,0.0,0.0,0.0,0.11,0.11,0.00,0.11,0.00,0.06,0.06,0.00,0.06,0.06,0.06,0.00
Ezri Konsa Ngoyo,AVL,2,180,0.0,0.0,0.0,0.00,0.00,0.00,0.54,0.54,0.00,0.00,0.00,0.00,0.00,0.27,0.27
Gabriel Martinelli,ARS,2,162,0.0,0.0,1.0,0.13,0.13,0.12,1.0,0.81,0.07,0.07,0.07,0.14,0.14,0.55,0.45
Mason Mount,MUN,2,158,0.0,0.0,0.0,0.00,0.00,0.06,1.41,1.41,0.00,0.00,0.04,0.04,0.04,0.81,0.81
Takehiro Tomiyasu,ARS,2,103,0.0,0.0,0.0,0.02,0.02,0.00,0.57,0.55,0.02,0.02,0.00,0.02,0.02,0.50,0.48
Billy Gilmour,BHA,2,105,0.0,0.0,0.0,0.03,0.03,0.00,2.61,2.58,0.02,0.02,0.00,0.02,0.02,2.23,2.21
Marvelous Nakamba,LUT,1,90,0.0,0.0,0.0,0.01,0.01,0.02,0.85,0.84,0.01,0.01,0.02,0.03,0.03,0.85,0.84
Arnaut Danjuma Groeneveld,EVE,2,70,0.0,0.0,0.0,0.19,0.19,0.09,0.31,0.04,0.25,0.25,0.12,0.37,0.37,0.39,0.06
Reece James,CHE,1,83,0.0,0.0,0.0,0.03,0.03,0.50,0.83,0.83,0.03,0.03,0.55,0.58,0.58,0.90,0.90
Lloyd Kelly,BOU,1,10,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Anthony Gordon,NEW,2,138,0.0,0.0,1.0,0.20,0.20,0.84,1.42,1.22,0.13,0.13,0.55,0.68,0.68,0.92,0.79
Neco Williams,NFO,2,102,0.0,0.0,0.0,0.02,0.02,0.03,0.13,0.08,0.02,0.02,0.02,0.04,0.04,0.12,0.07
Tyrick Mitchell,CRY,2,180,0.0,0.0,0.0,0.05,0.05,0.38,1.27,1.16,0.03,0.03,0.19,0.22,0.22,0.64,0.58
Sander Berge,BUR,1,90,0.0,0.0,0.0,0.00,0.00,0.00,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.06,0.06
Jack Robinson,SHU,2,171,0.0,0.0,0.0,0.04,0.04,0.00,0.17,0.13,0.02,0.02,0.00,0.02,0.02,0.09,0.07
Tomas Soucek,WHU,2,180,0.0,0.0,1.0,0.60,0.60,0.20,0.4,0.33,0.30,0.30,0.10,0.40,0.40,0.20,0.17
Josh Brownhill,BUR,1,1,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bruno Guimarães,NEW,2,180,0.0,0.0,0.0,0.11,0.11,0.00,0.71,0.60,0.06,0.06,0.00,0.06,0.06,0.36,0.30
Alexis Mac Allister,LIV,2,152,0.0,0.0,0.0,0.00,0.00,0.03,0.75,0.72,0.00,0.00,0.02,0.02,0.02,0.45,0.43
Cole Palmer,MCI,1,5,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sven Botman,NEW,2,180,0.0,0.0,1.0,0.09,0.09,0.52,0.72,0.72,0.05,0.05,0.26,0.31,0.31,0.36,0.36
